frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
56,5.614877000,,,,,,0x2067,0xffff,,0x2067,0xfffc,00:17:88:01:0b:e4:de:3f,,True,0x01,00:17:88:01:0b:e4:de:3f,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
57,5.651233000,,,0x04,,,0x31cb,0x975c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5.651774000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5.722666000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5.861077000,,,,,,0x6530,0xffff,,0x6530,0xfffc,00:17:88:01:08:37:cb:fc,,True,0x01,00:17:88:01:08:37:cb:fc,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
61,6.289015000,,,,,,0xfa68,0xffff,,0xfa68,0xfffc,00:17:88:01:0c:5e:e3:23,,True,0x01,00:17:88:01:0c:5e:e3:23,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
62,6.333880000,,,0x07,,,,0xffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6.337697000,,,,,,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6.340914000,,,,,,0xfc87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6.342546000,,,,,,0x6fed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6.344196000,,,,,,0xed3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6.345613000,,,,,,0xb733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6.347147000,,,,,,0x5ab9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6.348865000,,,,,,0x0c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6.350200000,,,,,,0xef71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6.353447000,,,,,,0x975c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.354807000,,,,,,0x76f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6.356421000,,,,,,0x0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6.357925000,,,,,,0x7bb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.359285000,,,,,,0x92fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.360987000,,,,,,0x3fc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6.362506000,,,,,,0xab54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6.364868000,,,,,,0xe9ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6.366388000,,,,,,0xd938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6.371325000,,,,,,0xf51f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6.729308000,,,,,,0xfc87,0xffff,,0xfc87,0xfffc,00:17:88:01:0d:4d:b0:91,,True,0x01,00:17:88:01:0d:4d:b0:91,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
82,6.731039000,,,0x07,,,,0xffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6.736966000,,,,,,0x9a1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6.738507000,,,,,,0xfc87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6.740057000,,,,,,0x92fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6.741524000,,,,,,0xb733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6.742892000,,,,,,0xd52f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6.749348000,,,,,,0xef71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6.750871000,,,,,,0xab54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6.753913000,,,,,,0x4d3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6.757685000,,,,,,0x0c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,6.759831000,,,,,,0xd938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,6.765051000,,,,,,0x51db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,6.767306000,,,,,,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6.770038000,,,,,,0x30ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6.872920000,,,0x01,00:17:88:01:0b:89:54:2f,,,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6.873461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,6.901991000,,,0x04,,,0xdc30,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6.902532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,7.071996000,,,0x04,00:17:88:01:0b:89:54:2f,,,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7.072537000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
