index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
5307,106310760,123,25,-68,10,data,189,False,False,True,0xfb2f,0xffff,0xfb2f,0xe9ed,114,signify_oui_reversed,
5308,106339371,114,25,-95,9,data,210,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5309,106339912,3,25,-102,6,ack,210,False,False,False,,,,,0,,
5310,106349084,114,25,-103,5,data,186,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5311,106349627,3,25,-104,4,ack,186,False,False,False,,,,,0,,
5312,106374111,45,25,-102,5,data,101,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5313,106374652,3,25,-102,5,ack,101,False,False,False,,,,,0,,
5314,106380875,45,25,-101,5,data,187,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5315,106381416,3,25,-98,8,ack,187,False,False,False,,,,,0,,
5316,106441355,114,25,-96,9,data,211,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5317,106441896,3,25,-105,3,ack,211,False,False,False,,,,,0,,
5318,106449865,114,25,-98,5,data,188,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5319,106450408,3,25,-107,2,ack,188,False,False,False,,,,,0,,
5320,106478359,45,25,-102,6,data,189,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5321,106478900,3,25,-94,9,ack,189,False,False,False,,,,,0,,
5322,106538239,114,25,-95,9,data,212,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5323,106580723,3,25,-96,8,ack,191,False,False,False,,,,,0,,
5324,106639162,114,25,-94,9,data,213,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5325,106645672,123,25,-64,9,data,96,False,False,True,0xfb2f,0xffff,0xfb2f,0xbff9,114,signify_oui_reversed,
5326,106652833,3,25,-104,2,ack,192,False,False,False,,,,,0,,
5327,106679411,3,25,-104,4,ack,104,False,False,False,,,,,0,,
5328,106684557,45,25,-107,3,data,193,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5329,106685098,3,25,-93,9,ack,193,False,False,False,,,,,0,,
5330,106743654,114,25,-93,9,data,214,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5331,106744195,3,25,-104,3,ack,214,False,False,False,,,,,0,,
5332,106751808,114,25,-99,5,data,194,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5333,106775306,3,25,-104,6,ack,105,False,False,False,,,,,0,,
5334,106782901,123,25,-61,9,data,97,False,False,True,0xfb2f,0xffff,0xfb2f,0xab54,114,signify_oui_reversed,
5335,106787762,45,25,-108,3,data,195,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5336,106788304,3,25,-93,8,ack,195,False,False,False,,,,,0,,
5337,106846254,114,25,-93,9,data,215,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5338,106846795,3,25,-103,6,ack,215,False,False,False,,,,,0,,
5339,106855304,114,25,-101,6,data,196,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5340,106855846,3,25,-104,6,ack,196,False,False,False,,,,,0,,
5341,106876450,45,25,-103,5,data,106,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5342,106876991,3,25,-105,5,ack,106,False,False,False,,,,,0,,
5343,106883054,123,25,-77,8,data,56,False,False,True,0xfb2f,0xffff,0xfb2f,0xe292,114,signify_oui_reversed,
5344,106886183,45,25,-104,3,data,197,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5345,106886725,3,25,-94,8,ack,197,False,False,False,,,,,0,,
5346,106946095,114,25,-95,9,data,216,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5347,106946636,3,25,-105,6,ack,216,False,False,False,,,,,0,,
5348,106953668,114,25,-103,6,data,198,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5349,106960015,3,25,-103,0,ack,198,False,False,False,,,,,0,,
5350,106963408,48,25,-102,3,data,107,False,True,True,0xfb2f,0xaed9,0xfb2f,0x0001,39,signify_oui_reversed,
5351,106969982,3,25,-89,9,ack,197,False,False,False,,,,,0,,
5352,106987290,45,25,-103,6,data,108,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5353,106987831,3,25,-102,6,ack,108,False,False,False,,,,,0,,
5354,106994064,45,25,-105,4,data,199,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5355,106994605,3,25,-94,9,ack,199,False,False,False,,,,,0,,
5356,107024848,82,25,-88,9,data,196,False,True,True,0xfb2f,0x55b8,0xfb2f,0x0003,73,signify_oui_reversed,
5357,107031379,3,25,-102,2,ack,200,False,False,False,,,,,0,,
5358,107053574,114,25,-96,8,data,217,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5359,107063338,114,25,-107,4,data,200,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5360,107063881,3,25,-105,7,ack,200,False,False,False,,,,,0,,
5361,107084931,45,25,-105,5,data,109,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5362,107085472,3,25,-102,5,ack,109,False,False,False,,,,,0,,
5363,107090997,45,25,-100,4,data,201,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5364,107091538,3,25,-95,9,ack,201,False,False,False,,,,,0,,
5365,107132845,123,25,-75,9,data,243,False,False,True,0xfb2f,0xffff,0xfb2f,0x92fc,114,signify_oui_reversed,
5366,107150760,114,25,-97,9,data,218,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5367,107151301,3,25,-101,4,ack,218,False,False,False,,,,,0,,
5368,107159903,114,25,-101,5,data,202,False,True,True,0xfb2f,0x0001,0xfb2f,0x9e24,105,signify_oui_reversed,
5369,107160446,3,25,-103,6,ack,202,False,False,False,,,,,0,,
5370,107183335,45,25,-106,5,data,110,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5371,107183877,3,25,-107,4,ack,110,False,False,False,,,,,0,,
5372,107189671,45,25,-112,4,data,203,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5373,107190212,3,25,-100,9,ack,203,False,False,False,,,,,0,,
5374,107248743,123,25,-101,8,data,226,False,False,True,0xfb2f,0xffff,0xfb2f,0xfa68,114,signify_oui_reversed,
5375,107262267,114,25,-98,8,data,219,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5376,107262808,3,25,-104,4,ack,219,False,False,False,,,,,0,,
5377,107272040,3,25,-105,4,ack,204,False,False,False,,,,,0,,
5378,107296177,45,25,-103,4,data,111,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5379,107304022,3,25,-100,9,ack,205,False,False,False,,,,,0,,
5380,107362769,114,25,-100,8,data,220,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5381,107371353,3,25,-103,5,ack,206,False,False,False,,,,,0,,
