index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
372,13650182,50,25,-107,4,data,90,False,False,True,0xfb2f,0xffff,0xfb2f,0x37ca,41,signify_oui_reversed,
373,13652573,50,25,-72,10,data,188,False,False,True,0xfb2f,0xffff,0xfb2f,0xe9ed,41,signify_oui_reversed,
374,13665478,50,25,-85,9,data,84,False,False,True,0xfb2f,0xffff,0xfb2f,0xf51f,41,signify_oui_reversed,
375,13963529,10,25,-104,7,mac_cmd,117,False,True,True,0xfb2f,0x09de,0xfb2f,0x2511,1,,
376,13964071,3,25,-78,9,ack,117,False,False,False,,,,,0,,
377,14117092,123,25,-79,9,data,153,False,False,True,0xfb2f,0xffff,0xfb2f,0x6530,114,"fc01_le,signify_oui_reversed",
378,14397812,46,25,-102,4,data,15,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,37,signify_oui_reversed,
379,14398355,3,25,-84,8,ack,15,False,False,False,,,,,0,,
380,14404834,60,25,-83,10,data,207,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,51,signify_oui_reversed,
381,14405376,3,25,-102,6,ack,207,False,False,False,,,,,0,,
382,14427933,46,25,-108,5,data,16,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,37,signify_oui_reversed,
383,14428475,3,25,-77,9,ack,16,False,False,False,,,,,0,,
384,14432994,50,25,-77,9,data,208,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,41,signify_oui_reversed,
385,14459604,47,25,-101,6,data,17,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,38,signify_oui_reversed,
386,14460147,3,25,-78,9,ack,17,False,False,False,,,,,0,,
387,14466209,80,25,-78,10,data,209,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,71,signify_oui_reversed,
388,14466753,3,25,-101,5,ack,209,False,False,False,,,,,0,,
389,14491478,47,25,-104,5,data,18,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,38,signify_oui_reversed,
390,14492020,3,25,-80,10,ack,18,False,False,False,,,,,0,,
391,14495934,58,25,-80,10,data,210,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,49,signify_oui_reversed,
392,14496478,3,25,-104,5,ack,210,False,False,False,,,,,0,,
393,14628421,54,25,-107,4,data,19,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,45,signify_oui_reversed,
394,14628963,3,25,-74,9,ack,19,False,False,False,,,,,0,,
395,14634778,103,25,-74,10,data,211,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,94,signify_oui_reversed,
396,14635322,3,25,-100,7,ack,211,False,False,False,,,,,0,,
397,14658078,60,25,-102,4,data,20,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,51,signify_oui_reversed,
398,14658619,3,25,-77,9,ack,20,False,False,False,,,,,0,,
399,14666721,109,25,-77,9,data,212,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,100,signify_oui_reversed,
400,14667265,3,25,-103,5,ack,212,False,False,False,,,,,0,,
401,14715656,123,25,-76,10,data,213,False,False,True,0xfb2f,0xffff,0xfb2f,0x9dd8,114,signify_oui_reversed,
402,14719943,48,25,-108,6,data,21,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,39,signify_oui_reversed,
403,14720485,3,25,-76,10,ack,21,False,False,False,,,,,0,,
404,14725040,51,25,-75,9,data,214,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,42,signify_oui_reversed,
405,14725584,3,25,-105,5,ack,214,False,False,False,,,,,0,,
406,14737573,10,25,-82,9,mac_cmd,66,False,True,True,0xfb2f,0x09de,0xfb2f,0xdc30,1,,
407,14738115,3,25,-79,10,ack,66,False,False,False,,,,,0,,
408,14742618,48,25,-79,10,data,223,False,True,True,0xfb2f,0xdc30,0xfb2f,0x09de,39,signify_oui_reversed,
409,14743162,3,25,-82,10,ack,223,False,False,False,,,,,0,,
410,14748346,10,25,-83,9,mac_cmd,67,False,True,True,0xfb2f,0x09de,0xfb2f,0xdc30,1,,
411,14748888,3,25,-79,10,ack,67,False,False,False,,,,,0,,
412,14754156,48,25,-79,10,data,224,False,True,True,0xfb2f,0xdc30,0xfb2f,0x09de,39,signify_oui_reversed,
413,14754700,3,25,-84,8,ack,224,False,False,False,,,,,0,,
414,14777404,52,25,-108,4,data,22,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,43,signify_oui_reversed,
415,14791907,52,25,-104,3,data,22,False,True,True,0xfb2f,0x9dd8,0xfb2f,0x0001,43,signify_oui_reversed,
416,14792448,3,25,-74,11,ack,22,False,False,False,,,,,0,,
417,14796692,57,25,-74,9,data,215,False,True,True,0xfb2f,0x0001,0xfb2f,0x9dd8,48,signify_oui_reversed,
418,14797236,3,25,-100,3,ack,215,False,False,False,,,,,0,,
419,14837291,3,25,-75,10,ack,23,False,False,False,,,,,0,,
